name|time_stamps|label_time_stamps(window=5)
Jan E. Clayton |09 |0_09 
Jianfeng Wen |44 |0_44 
Jiyang Chen |39 |0_39 
Di Wang |39 44 |0_39 1_44 
Ed H. Chi |44 |0_44 
Atif Nazir |44 |0_44 
Hiroshi Arisawa |14 |0_14 
Konstantinos Athanasakos |39 |0_39 
Sandor M. Veres |39 |0_39 
Andriy Ivannikov |39 44 |0_39 0_44 
Luis Montesano |44 |0_44 
Yasushi Kiyoki |19 39 |0_19 0_39 
Mo Chen |39 44 |0_39 0_44 
Reacutegis Gras |34 |0_34 
Ernesto Brau |44 |0_44 
Steven J. Simske |44 |0_44 
R. L. Lapp |14 |0_14 
Rosaria Conte |39 44 |0_39 0_44 
Giorgos Borboudakis |44 |1_44 
Qingyuan Zhao |44 |0_44 
Weidong Chen 0005 |19 24 |0_19 0_24 
Srinivas Ashwin |29 |0_29 
Hsiu-yen Tsai |24 |0_24 
Guumlnther Pernul |24 |0_24 
Yanhua Chen |39 |0_39 
Jacek Wojciechowski |39 |0_39 
Yannis Katsis |34 39 |0_34 0_39 
Peter Wonka |44 |1_44 
Rosalind W. Picard |34 44 |0_34 0_44 
Kanthi Nagaraj |39 |0_39 
Alexiei Dingli |34 |0_34 
Teresa Mroczek |39 |0_39 
Leon Stenneth |44 |0_44 
Ronan Trepos |34 |0_34 
Mark Goadrich |34 |0_34 
Dewei Chen |39 |1_39 
Bradford Heckman |04 |0_04 
Mehmet Keskinoumlz |34 |0_34 
A. Hill |04 |0_04 
Farnoush Banaei Kashani |29 34 39 |0_29 0_34 0_39 
Shinichi Murata |34 |0_34 
Ilias Petrounias |24 29 |0_24 1_29 
Bob Huisman |44 |0_44 
Karina Wolfram |34 |0_34 
Risto A. Vaumlisaumlnen |34 |0_34 
Frederick Reiss |34 39 44 |0_34 0_39 0_44 
William P. Doran |34 |0_34 
Thomas T. Tran |34 39 |0_34 1_39 
Lynn Andrea Stein |19 29 |0_19 0_29 
Gopal Mulagund |29 |0_29 
Shiwen Cheng |44 |0_44 
Volker Schmitz |34 |0_34 
Woosang Song |39 |0_39 
Bing Liu 0001 |29 34 39 44 |1_29 1_34 1_39 1_44 
Udi Manber |14 24 |0_14 0_24 
Bernhard Huber |19 |0_19 
Christopher D. Carothers |34 |0_34 
Antonio Morales |39 |0_39 
Prakash Mandayam Comar |39 44 |0_39 0_44 
Ilana Klovatch |44 |0_44 
Zhaohui Chen |39 |0_39 
Barnabaacutes Poacuteczos |34 39 44 |0_34 0_39 1_44 
Hartmut Schmeck |24 |0_24 
Barbara Smith-Thomas |14 |0_14 
Alexander M. Robertson |24 |0_24 
Ronaldo C. Prati |34 |0_34 
Geacuterard Leacutevy |19 |0_19 
Siu-Lun Au |19 |0_19 
Viacutector Codocedo |44 |0_44 
Xiaodong Zhou |34 39 |1_34 0_39 
Han Liu |34 39 44 |1_34 0_39 1_44 
Chang Zhou |44 |0_44 
Marjan Ghazvininejad |39 44 |0_39 0_44 
Hoi-Yee Hwang |24 |0_24 
Simon A. Levin |44 |0_44 
Yariv Dror Mizrahi |44 |0_44 
Lorenzo Gatti |44 |0_44 
Jean-Franccedilois Paiement |34 39 44 |0_34 1_39 0_44 
Ramesh S. Patil |09 14 |0_09 0_14 
Nick R. Katsipoulakis |44 |0_44 
Michelle LaMar |24 |0_24 
Mingjing Li |29 34 |0_29 0_34 
Mohsen Jamali |39 44 |1_39 1_44 
Asuncioacuten Goacutemez-Peacuterez |34 |0_34 
Rohit Khare |34 |0_34 
Petr Miksovskyacute |29 |0_29 
David R. Traum |39 44 |0_39 0_44 
Joost Engelfriet |39 |0_39 
Ergin Elmacioglu |34 |0_34 
Susanne Hoche |34 |0_34 
Haifeng Xu |44 |1_44 
Curt J. Ellmann |34 |0_34 
I. Mel'chuk |04 |0_04 
Elizabeth McKenna |29 |0_29 
Alexandros Marinos |39 |0_39 
Dror Sholomon |44 |0_44 
Zied Bouraoui |44 |0_44 
Yoram Moses |14 19 24 39 |0_14 0_19 0_24 0_39 
Livia Predoiu |44 |0_44 
Peter Scheuermann |14 24 29 34 39 |1_14 0_24 1_29 1_34 0_39 
Yunsong Guo |39 |0_39 
Richard K. Belew |24 |1_24 
Amanda Smith |39 |0_39 
Horacio Saggion |34 44 |0_34 0_44 
Markus Rokicki |44 |0_44 
Mohammed Maniruzzaman |34 |0_34 
Arjan J. C. van Gemund |34 39 |0_34 0_39 
Yuezhi Zhou |39 |0_39 
Achref El Mouelhi |44 |0_44 
Fabrizio Ferrandina |24 |0_24 
Maryam Karimzadehgan |39 44 |0_39 0_44 
Hongfei Li |39 44 |0_39 1_44 
Lennert Sloth |29 |0_29 
Katsutoshi Ohtsuki |34 |0_34 
Christodoulos Efstathiades |44 |0_44 
Alceu Ferraz Costa |44 |0_44 
John H. Maloney |19 |0_19 
Michael Ortega-Binderberger |34 |0_34 
Remo Pareschi |29 |0_29 
Wenjuan Luo |44 |0_44 
Peng Hou |44 |0_44 
Kocirciti Hasida |19 24 34 39 |0_19 0_24 1_34 1_39 
Alex Aiken |34 39 |0_34 0_39 
Teck-Hua Lee |44 |0_44 
Daniel P. Siewiorek |39 |0_39 
Matthew Gardner |44 |0_44 
Wei Li 0012 |39 |0_39 
Chien-Yu Chen |29 34 |0_29 0_34 
Marcus Gutierrez |44 |0_44 
Ximing Wen |39 44 |0_39 0_44 
Helen C. Wolf |09 14 |0_09 0_14 
Christine Hofmeister |24 |0_24 
Carlos Diuk |39 |0_39 
Juumlrgen Voss |34 |0_34 
Wolfgang Scheufele |29 |0_29 
Yongbing Mei |39 |0_39 
Wenli Xu |44 |0_44 
Riccardo De Masellis |44 |0_44 
Dongyu Lin |39 |0_39 
Ibrahim Yakut |44 |0_44 
Toine Bogers |34 39 44 |0_34 0_39 0_44 
Feras Al Tarouti |44 |0_44 
Ziyang Chen |39 44 |0_39 1_44 
Louise Pryor |24 |0_24 
Uriel Feige |39 44 |0_39 0_44 
Kenneth W. Ng |24 |0_24 
Jonghyun Park |39 |0_39 
Henrique Andrade |39 |0_39 
Hongyi Zhang |44 |0_44 
Qixin Wang |44 |0_44 
Krishna Kummamuru |34 39 |1_34 1_39 
Paul von Buumlnau |39 |0_39 
Dietrich Wettschereck |24 29 |1_24 0_29 
Arpita Ghosh |39 44 |1_39 1_44 
Felisa Verdejo |34 44 |0_34 0_44 
Jeff Forbes |24 |0_24 
Jeff Heflin |34 44 |0_34 0_44 
L. Ozsen |34 |0_34 
Darja Krushevskaja |44 |0_44 
Qi Zhang |29 34 39 44 |0_29 1_34 1_39 1_44 
Alex Roper |39 |0_39 
Patrick Hummel |44 |0_44 
Shanjun Cheng |39 |0_39 
Lu Zhang 0007 |39 |0_39 
Yuan-Kai Wang |29 |0_29 
Joseph Naor |14 |0_14 
Qiaozhu Mei |34 39 44 |1_34 1_39 1_44 
Srdjan Vesic |39 44 |0_39 0_44 
Elena Cabrio |44 |0_44 
Robin D. Burke |24 34 |0_24 1_34 
Daniel J. Mankowitz |44 |0_44 
Robert Brown |14 |0_14 
Juumlrgen Sturm |39 44 |0_39 0_44 
Jie Song |44 |0_44 
Peng Si Ow |14 19 |0_14 0_19 
Barbara Catania |24 29 34 44 |0_24 1_29 1_34 0_44 
Md Mustafizur Rahman |44 |0_44 
Julie Nutini |44 |0_44 
Christoph Schmitz 0001 |34 |1_34 
Samuel F. Way |44 |0_44 
Zarko Cvetanovic |19 |0_19 
Christopher Kermorvant |34 |0_34 
Andrew Packard |44 |0_44 
Lei Chen 0002 |34 39 44 |0_34 1_39 1_44 
Aman Sinha |29 |0_29 
Anton J. Kleywegt |34 |0_34 
Xilin Chen |44 |0_44 
Arkadas Ozakin |39 |0_39 
Sangho Lee 0001 |44 |0_44 
Mei-Jung Lo |29 |0_29 
Michael J. Welch |39 |0_39 
Gregory Hitz |44 |0_44 
Shivaram Venkataraman |44 |0_44 
Yashar Moshfeghi |39 44 |0_39 0_44 
Katherine A. Heller |34 39 44 |0_34 0_39 1_44 
Archie Russell |44 |0_44 
Anjali Norwood |44 |0_44 
Lu Qin |34 39 44 |0_34 0_39 1_44 
Judith A. Blake |34 |0_34 
Anestis Gkanogiannis |39 |0_39 
Ahmet Cosar |39 |0_39 
John R. Jordan III |19 |0_19 
Jun Karamon |39 |1_39 
Yuu Jinnai |44 |0_44 
Wei Boon Goh |29 |0_29 
Florian Holz |39 |0_39 
Roger G. Mark |44 |0_44 
Tracy Kimbrel |34 |0_34 
Ewa Dominowska |39 |0_39 
Tasos Anastasakos |44 |0_44 
Terrence J. Sejnowski |14 |0_14 
Christopher Williams |34 |0_34 
Marian Olteanu |44 |0_44 
Mitsuhiro Kondo |29 |0_29 
Hua Shi |34 |0_34 
Yu Ding |44 |0_44 
Ralf Kuumlsters |29 |0_29 
Elisha Sacks |19 24 |0_19 0_24 
Prasant Mohapatra |29 44 |0_29 0_44 
Xinwang Liu |44 |0_44 
Volodya Vovk |29 34 44 |0_29 0_34 0_44 
Nicholas Asher |19 |0_19 
Erika F. de Lima |29 |0_29 
Huibo Liu |39 |0_39 
Amol Bhangdiya |44 |0_44 
Matthew Reardon |44 |0_44 
Steven Salzberg |19 24 |0_19 1_24 
Ryan Carr |34 |0_34 
Faisal Ahmed 0001 |39 |1_39 
Michael P. Halpin |19 |0_19 
Gilad Zlotkin |19 24 |0_19 0_24 
Matthew Grum |39 |0_39 
Dwaipayan Roy |44 |0_44 
Levent Ertoumlz |34 |0_34 
Hans Kleine Buumlning |44 |0_44 
Miguel Perez Ayucar |44 |0_44 
Carlo Batini |29 |0_29 
V. N. Spadavecchia |09 |1_09 
Devdatt P. Dubhashi |39 44 |0_39 1_44 
Zubair Asad |19 |0_19 
Silvia Nittel |34 |0_34 
Anna Chen |44 |1_44 
Amira Soliman |44 |0_44 
Cliff Stein |44 |0_44 
Matthew R. McLaughlin |34 |0_34 
Yanming Nie |39 |0_39 
Hong Yan |39 |0_39 
Bowen Dong |44 |0_44 
Fangchun Yang |44 |0_44 
Takafumi Nakanishi |39 |0_39 
Michael Vinov |34 |0_34 
Leonardo Meo-Evoli |24 |0_24 
Pierre Dupont |29 34 39 |0_29 0_34 0_39 
Eric K. Ringger |39 |0_39 
Somkiat Tangkitvanich |24 |0_24 
Steven Covington |39 |0_39 
Vassiliki Somaraki |39 |0_39 
Andrzej Trybulec |14 |0_14 
Julian Gutierrez 0001 |44 |0_44 
Yin Lou |44 |0_44 
Aske Plaat |24 |0_24 
Jody Gevins Underwood |24 |0_24 
Joshua Greene |44 |0_44 
Shashank Srikant |44 |0_44 
Clinton Mah |09 |0_09 
Jonathan P. Gilbert |19 |0_19 
Katsushi Ikeuchi |09 14 |0_09 0_14 
Alexandru Chitea |39 |0_39 
Christos Dimitrakakis |44 |0_44 
Robert N. Oddy |24 |0_24 
Peter B. Key |44 |1_44 
Rebecca L. Smith |39 |0_39 
John K. Debenham |34 39 |0_34 0_39 
Andrew Lampert |44 |0_44 
Daphna Dor-Shifer |34 |0_34 
Noel E. Sharkey |14 |0_14 
Chieh-Ming Wu |34 |0_34 
Margot Flowers |09 14 19 |0_09 0_14 0_19 
Chenyi Xia |34 |0_34 
Christian Bird |39 |0_39 
Saurabh Goyal |44 |0_44 
Bart De Schutter |44 |0_44 
Colum Mooney |34 |0_34 
James Miller |19 |0_19 
Chieh-Jen Wang |39 |0_39 
Amit Daniely |44 |0_44 
Filip Radlinski |34 39 44 |1_34 1_39 1_44 
Aristidis Likas |24 44 |0_24 0_44 
Evan Sultanik |34 39 |0_34 0_39 
Yu-Ming Hsieh |34 |0_34 
Barbara Leporini |34 39 |0_34 0_39 
Tarik Hadzic |34 39 |0_34 0_39 
Bhavesh Shah |39 |0_39 
Erik Berger |44 |0_44 
Zharko Aleksovski |39 |0_39 
Reza Motamedi |44 |0_44 
Alexander Kovarsky |34 39 |0_34 0_39 
Linda M. Wills |24 |0_24 
Graeme Richards |29 |0_29 
Nicky Kern |34 |0_34 
Hongxing He |29 34 39 |0_29 0_34 0_39 
Marcelo Cesar Cirelo |34 |0_34 
Sue He |44 |0_44 
Shang-Hua Teng |44 |0_44 
Emmett Witchel |34 39 |0_34 0_39 
David Barta |34 |0_34 
P. Hauff |04 |0_04 
Tetsutaro Shibahara |14 |0_14 
Jeffrey Borwey |44 |0_44 
Fatih Emekccedili |34 39 |0_34 0_39 
Fernando Bellas |34 |0_34 
David Balduzzi |39 44 |0_39 0_44 
Konstantinos Krikellas |39 |0_39 
Jenny Rompa |44 |0_44 
Kan Li |44 |0_44 
Zhefeng Wang |44 |1_44 
Stephanie E. August |14 |0_14 
Debraj GuhaThakurta |44 |0_44 
Hector Urroz |29 |0_29 
Simon Maskell |34 |0_34 
S. R. K. Branavan |39 |0_39 
Michael C. Bailey |44 |0_44 
Mao Yang |44 |0_44 
K. A. Kaufman |14 |0_14 
Argyrios Deligkas |44 |0_44 
Alex Gittens |44 |0_44 
Nikola Jevtic |34 |0_34 
Madan Gopal |39 |0_39 
Yue Zhu |44 |0_44 
Peng Hu |44 |0_44 
Aaron Gage |34 |0_34 
Glenn Neuber |44 |0_44 
Feifei Pan |44 |0_44 
Binxin Liang |44 |0_44 
Patrice Masson |34 |0_34 
Arun Mallya |44 |0_44 
Jiangwei Pan |44 |0_44 
Quang Huy Nguyen 0003 |34 |0_34 
Kaja Zupanc |44 |0_44 
Rostam Joobbani |14 |0_14 
Ching Y. Suen |24 |0_24 
Jure Zabkar |34 44 |0_34 0_44 
Zongting Lv |44 |0_44 
Rob Shields |34 39 |0_34 0_39 
Naoto Mizuno |44 |0_44 
Matthew R. Rudary |34 |0_34 
Mark Joseph Cummins |39 |0_39 
Qingshan Jiang |39 |0_39 
Lauren Hannah |39 44 |0_39 0_44 
Gholamreza Emami |24 |0_24 
Sameet Agarwal |24 |0_24 
Omid E. David |44 |0_44 
Tran Trang |34 |0_34 
Maybin K. Muyeba |29 39 |0_29 0_39 
Stavros Christodoulakis |14 19 29 44 |1_14 1_19 0_29 0_44 
Viktor Losing |44 |0_44 
Sandeep Seri |34 |0_34 
Mark C. Wilson |39 |0_39 
Rafael L. Beirigo |44 |0_44 
Mark Brodie |29 34 |0_29 1_34 
Alexander Zeiss |34 |0_34 
Vitaly Mirkis |44 |0_44 
Richard J. Doyle |14 19 24 |0_14 0_19 0_24 
Abderrahim Labbi |34 39 44 |0_34 0_39 0_44 
Alan Halverson |34 39 44 |0_34 0_39 1_44 
Alexander P. Morgan |34 |0_34 
Alexandra Olteanu |44 |0_44 
Daniel R. Catchpoole |34 |0_34 
Barbara Poblete |34 39 44 |0_34 0_39 0_44 
Simon A. Kao |19 |0_19 
Daniel Valcarce |44 |0_44 
Gholamreza Nakhaeizadeh |24 29 34 |0_24 1_29 0_34 
Jean-Michel Renders |24 34 39 44 |0_24 1_34 0_39 0_44 
Hiroki Arimura |29 34 39 44 |0_29 0_34 0_39 0_44 
Shri Kant |39 |0_39 
David Michael Barbella |39 |0_39 
Jin Wook Kim |39 |0_39 
Roni Stern |39 44 |0_39 0_44 
Faraz Zaidi |39 |0_39 
Tamar Kulberis |39 |0_39 
Kazuhiko Ushio |09 |0_09 
Chongjie Zhang |39 44 |0_39 0_44 
Guang Xiang |39 44 |0_39 0_44 
Carmen Riedler |29 |0_29 
Jason Sakellariou |44 |0_44 
Hui Jiang |44 |0_44 
Levi H. S. Lelis |44 |0_44 
You Chen |44 |0_44 
Alberto Maran |44 |0_44 
Ioana Ursu |29 |0_29 
Sofie De Clercq |44 |0_44 
Zheng Sun |29 34 |0_29 0_34 
Srinivasen Keshav |44 |0_44 
Georg Klinker |19 |0_19 
Xin Mu |44 |0_44 
Mireille Reacutegnier |24 |0_24 
Roy Levin |44 |0_44 
Brian Amento |29 |0_29 
James Z. Teng |24 |0_24 
Afra M. Wohlschlaumlger |39 |0_39 
Rashmi Raghu |44 |0_44 
Shoji Ura |09 14 |0_09 0_14 
Brij M. Masand |24 29 |1_24 0_29 
Eric Breck |39 |0_39 
William S. Cooper |14 19 24 |0_14 0_19 0_24 
Jianbing Zhang |44 |0_44 
Zhicheng Cui |44 |0_44 
Avraham Shvartzon |44 |0_44 
Angel R. Puerta |24 |0_24 
Andrew Bate |34 39 |0_34 0_39 
Michel Kuntz |19 |0_19 
Evangelos Kokkevis |24 |0_24 
Bassem Sayrafi |34 |0_34 
Richard D. Fennell |09 |0_09 
Yuxun Zhou |44 |0_44 
Jeongkeun Lee |44 |0_44 
Hyoung-Joo Kim |24 29 39 |0_24 0_29 0_39 
Kien-Ping Chung |39 |0_39 
Sandeep Khanzode |34 |0_34 
John A. Johnson |34 |0_34 
Marius Messner |39 |0_39 
Andrey Smirnov |44 |0_44 
Philippe Dague |19 24 |0_19 0_24 
Gilbert Swinnen |29 |1_29 
Marco Valtorta |14 34 39 |0_14 0_34 0_39 
Phillip B. Gibbons |29 34 39 44 |0_29 1_34 0_39 0_44 
Eunyee Koh |39 |0_39 
Daniel S. Farenzena |39 |0_39 
Kenneth Salem |14 19 24 29 34 39 44 |0_14 0_19 0_24 0_29 0_34 0_39 0_44 
Jemiah Westerman |44 |0_44 
Raymie Stata |34 39 |0_34 0_39 
Hossam Sharara |39 |1_39 
Show-Jane Yen |29 34 39 |0_29 0_34 0_39 
Charles Peter Elkan |44 |0_44 
Michael C. Hughes |44 |0_44 
T. Ravindra Babu |44 |0_44 
Victor O. K. Li |14 19 |0_14 0_19 
Helene Hembrooke |34 |0_34 
Raymond N. J. Veldhuis |39 |0_39 
Sreyash Kenkre |39 44 |0_39 0_44 
Marc Sobel |34 |0_34 
Alessandro Limongiello |39 |0_39 
Joshi Parag |39 |0_39 
Jin Cao |39 |0_39 
Katja Filippova |39 |0_39 
J. Inigo Thomas |24 |0_24 
Beatrice Biancardi |44 |0_44 
Yousef Elmehdwi |44 |0_44 
Faiz Currim |34 |0_34 
Massimo Cairo |44 |0_44 
Erik Ordentlich |44 |0_44 
Bruce Hillyer |29 |0_29 
George K. Atia |44 |0_44 
Puneet K. Birwa |44 |0_44 
Per Ola Kristensson |39 44 |0_39 0_44 
Daniel S. Tkach |39 |0_39 
Tengfei Zhou |44 |0_44 
Alejandro Moreo Fernaacutendez |44 |0_44 
Wenjun Zeng |44 |0_44 
Wook Chang |34 |0_34 
Ove Andersen |44 |0_44 
Paul Doran |39 |0_39 
Xiaotie Deng |34 39 44 |0_34 0_39 0_44 
Olufemi A. Omitaomu |44 |0_44 
Guangcan Liu |34 39 |0_34 0_39 
Tom Minka |39 44 |0_39 0_44 
Rie Sawai |29 |0_29 
William P. Birmingham |24 34 |0_24 0_34 
Xi-Lin Chen |44 |0_44 
Mathieu Verbaere |39 |0_39 
Simon Perkins |34 |1_34 
Adam Craig Pocock |44 |0_44 
Wilko Quak |24 |0_24 
Hirochika Inoue |19 24 |0_19 0_24 
Christoph H. Lampert |39 44 |0_39 0_44 
Zhiyong Feng |39 |0_39 
Todd J. Green |34 39 44 |0_34 0_39 0_44 
Chris Fox |44 |0_44 
Ceryen Tan |39 |0_39 
Gwang S. Jung |19 |0_19 
Werner Dilger |14 29 |0_14 0_29 
Yukihiro Morita |14 19 |0_14 0_19 
Mark Voortman |44 |0_44 
Ryan Williams 0001 |34 39 44 |1_34 0_39 0_44 
Delphine Ropers |34 |0_34 
Mike Brayshaw |19 |0_19 
Danfeng Yao |44 |0_44 
Mohamed Morsey |44 |0_44 
Franz Barachini |19 24 |0_19 0_24 
Arambam James Singh |44 |0_44 
Klaus Bernt |29 |0_29 
Yue Pan |34 39 |0_34 1_39 
Gustavo Carneiro |34 |0_34 
Orly Avner |44 |0_44 
Blaine Nelson |39 44 |0_39 0_44 
Jin Qian |44 |0_44 
Elena Botoeva |44 |0_44 
Linda Moy |39 |0_39 
Ted Kremenek |39 |0_39 
Hengming Zou |29 |0_29 
Jinfeng Yi |44 |1_44 
Brahim Medjahed |29 |0_29 
Alex Memory |44 |0_44 
Boi Faltings |14 19 24 34 39 44 |0_14 0_19 0_24 0_34 1_39 0_44 
Qian-Qian Li |44 |0_44 
Fangzhao Wu |44 |1_44 
Xuandong Li |44 |0_44 
Sujatha Das Gollapalli |44 |1_44 
Yueting Zhuang |34 39 44 |0_34 1_39 1_44 
Alice H. Muntz |24 |0_24 
Tong Ge |44 |0_44 
Giorgio Orsi |39 44 |0_39 1_44 
Khaled Belghith |34 |0_34 
Chen Liu |39 44 |0_39 1_44 
Joseph F. McCarthy |24 |0_24 
Guofu Li |39 |0_39 
Guo-Xian Yu |44 |1_44 
Gianmaria Silvello |44 |0_44 
Piji Li |44 |0_44 
Daniel J. Fremont |44 |0_44 
Zheng Wang 0007 |44 |0_44 
Philip S. Thomas |39 44 |0_39 0_44 
Ignacio Araya |39 |0_39 
Wen-Yang Luo |39 |0_39 
Jennifer Widom |19 24 29 34 39 44 |0_19 0_24 0_29 1_34 0_39 0_44 
Jeong Soo Ahn |24 |0_24 
Cheqing Jin |44 |0_44 
Ibrar Hussain 0001 |44 |0_44 
Behzad Shahraray |29 |0_29 
Nevzat Hurkan Balkir |24 |0_24 
Miltiadis Allamanis |44 |0_44 
Tomoko Kajiyama |34 |0_34 
Andreas G. Hofmann |34 44 |0_34 0_44 
Takaki Makino |39 44 |0_39 0_44 
Jalaja Padma |39 |0_39 
Shuqin Zhang |39 |0_39 
Marcin S. Szczuka |29 |0_29 
Yi Min Wang |39 |0_39 
Yan Chuan Sim |39 |0_39 
Jennifer Chu-Carroll |24 34 39 |0_24 1_34 0_39 
Hermann Schichl |44 |0_44 
Claudio Carpineto |24 34 39 44 |0_24 0_34 0_39 0_44 
Quan Yu |44 |0_44 
Jianguo Wang |44 |1_44 
Ronald L. Westra |39 |0_39 
Joseph L. Hellerstein |29 34 |1_29 0_34 
Nikos Pappas |29 |0_29 
V. Ozernoi |04 |0_04 
Gordon Bell |34 |0_34 
Dennis Perzanowski |34 39 |0_34 0_39 
Fedelucio Narducci |44 |0_44 
Weicheng Zhang |44 |0_44 
Wen-Lian Hsu |29 39 |0_29 0_39 
Stefan Debald |39 |0_39 
Peter Battaglino |39 |0_39 
Valery Guralnik |29 |0_29 
Rino Falcone |39 |0_39 
Vahab S. Mirrokni |39 44 |1_39 1_44 
Bradley J. Clement |34 |0_34 
Kotagiri Ramamohanarao |14 19 24 29 34 39 44 |0_14 0_19 0_24 1_29 1_34 1_39 1_44 
Terrance Swift |44 |0_44 
Marasu Kitsuregawa |39 |0_39 
Steve Walker |24 29 |0_24 0_29 
Gunnar Blix |19 29 |0_19 0_29 
Eman Anwar |24 |0_24 
Alan J. Vayda |39 |0_39 
Sueharu Miyahara |39 |0_39 
Diederik P. Kingma |44 |0_44 
Qing Tan |39 |0_39 
Sebastiano Vigna |34 39 44 |0_34 0_39 0_44 
Manuel Lopes |44 |0_44 
Donald A. Norman |04 09 |0_04 0_09 
Yingbo Miao |34 39 |0_34 0_39 
Boris Y. L. Chan |29 |0_29 
Hideto Yokoi |34 |1_34 
Yu He |29 |1_29 
Dmitry Vasilevsky |29 |0_29 
Andrew J. Palay |09 |0_09 
Thuc Duong Nguyen |34 |0_34 
Olivier Fercoq |44 |0_44 
Jonathan Dinerstein |39 |0_39 
Souvik Debnath |39 |0_39 
Jackie Chappell |34 |0_34 
T. Missinai |09 |0_09 
V. Zekharov |04 |0_04 
Jim Laredo |39 |0_39 
Nadi Tomeh |44 |0_44 
Hui Joe Chang |44 |0_44 
Gilad Kutiel |44 |0_44 
Alexander Holupirek |39 |0_39 
Joatildeo Mexia |29 |0_29 
M. Somalivco |09 |0_09 
Kelly Palmer |34 |0_34 
Yinan Zhang |44 |1_44 
Shumo Chu |39 44 |1_39 0_44 
Okke Schrijvers |44 |1_44 
Paavo Kotinurmi |34 |0_34 
E. K. Park |39 |0_39 
Xiaonan Lu |39 |0_39 
Nick Cercone |04 09 19 24 29 34 44 |0_04 0_09 0_19 1_24 1_29 1_34 0_44 
Jaesik Choi |39 44 |0_39 1_44 
Qianru Zheng |44 |0_44 
Tolga Bozkaya |34 |0_34 
Xinsheng Li |44 |0_44 
Hatem A. Mahmoud |44 |0_44 
Vera Boteva |44 |0_44 
Dror Weitz |29 |0_29 
Rui Cai |39 44 |1_39 0_44 
Jeffrey A. Barnett |14 19 |0_14 0_19 
Alberto Mozo |44 |0_44 
Jeacuterocircme Monnot |39 44 |0_39 0_44 
Srinivas Narayanan |39 |1_39 
Yuly Suvorov |39 |0_39 
Lawrence Shih |34 |0_34 
Gaacutebor I. Nagy |44 |0_44 
J. Ross Beveridge |29 |0_29 
Virgil Pavlu |44 |1_44 
Michael O'Docherty |24 |0_24 
Claire Nedellec |29 |0_29 
Georges Gardarin |09 14 19 24 29 34 39 |0_09 0_14 0_19 0_24 0_29 1_34 1_39 
Michael Reip |39 |0_39 
Miyuki Nakano |19 24 29 44 |0_19 0_24 0_29 0_44 
Jin Chen |34 39 |0_34 0_39 
Chu Wang |44 |0_44 
Jerry Zhu |44 |0_44 
David Ruby |19 |0_19 
Elin Roslashnby Pedersen |39 |0_39 
Aric A. Hagberg |39 |0_39 
Hugues Juilleacute |29 |0_29 
W. Scott Spangler |29 34 39 44 |0_29 0_34 1_39 0_44 
Matthew Denny |34 |0_34 
Haocheng Wu |44 |0_44 
Pranam Kolari |34 39 |1_34 1_39 
Abdellali Kelil |39 |0_39 
Charlotte Zhu |44 |0_44 
Dwi H. Widyantoro |34 |0_34 
Charles Mathy |44 |0_44 
Pinar Keskinocak |34 39 |0_34 0_39 
Michael Kurze |44 |0_44 
Ying Huang |44 |0_44 
Nikhil R. Devanur |39 44 |0_39 0_44 
Jamal Bentahar |39 |0_39 
Pingzhong Tang |39 44 |0_39 0_44 
Zuoquan Lin |44 |0_44 
Nepomuk Seiler |44 |0_44 
Martin Odersky |19 39 |0_19 0_39 
Alexey Poyarkov |44 |0_44 
Quan Z. Sheng |34 39 44 |1_34 0_39 1_44 
Rusong Wang |29 |0_29 
Claudia Niedereacutee |39 44 |0_39 0_44 
Matteo Ruggero Ronchi |44 |0_44 
Zhigang Luo |44 |0_44 
Lev Zaidenberg |19 |0_19 
Brian C. Healy |44 |0_44 
Johan Hjelm |34 |0_34 
John M. Drake |44 |0_44 
Julien Hamonic |34 |0_34 
Jason Michelizzi |34 |0_34 
Anna C. Gilbert |29 34 |0_29 0_34 
Katia Papakonstantinopoulou |44 |0_44 
Wolfgang Macherey |29 |0_29 
Antti Puurula |44 |0_44 
Stefan Savage |39 44 |1_39 1_44 
Danyan Lv |44 |0_44 
Claudia Bauzer Medeiros |14 19 29 |0_14 0_19 0_29 
Yuping Yang |29 |0_29 
Tao Tao |34 39 |1_34 0_39 
Sergio Nuacutentildeez |44 |0_44 
Pinghua Gong |39 44 |0_39 1_44 
Goutham Kurra |34 |0_34 
Jungchul Woo |34 |0_34 
Meng Jiang |44 |1_44 
Heiko Haller |34 |0_34 
Jesse Hoey |34 39 44 |0_34 0_39 0_44 
John J. Leonard |34 |0_34 
Richard Keefe |34 |0_34 
Jung-Wei Wu |39 |0_39 
Shouxun Lin |39 |0_39 
Sameh Elnikety |34 39 44 |0_34 0_39 1_44 
Caroline Jay |39 |0_39 
Amy Unruh |19 |0_19 
Maryvonne Miquel |34 |0_34 
Onkar Dalal |44 |0_44 
Benjamin Schiller |39 |0_39 
Evelina Lamma |29 34 44 |0_29 0_34 0_44 
Carlos Ceja Limon |44 |0_44 
Cynthia Rudin |44 |0_44 
Cagatay Goncu |44 |0_44 
Makoto Abe |44 |0_44 
Kevin Duh |39 44 |0_39 0_44 
Dicky N. Sihite |44 |0_44 
Ana Cristina Bicharra Garcia |34 39 44 |0_34 0_39 0_44 
Arpad Rimmel |39 |0_39 
Philippe Gaussier |34 |0_34 
Maureen Donnelly |34 39 |0_34 0_39 
Bikram Sengupta |44 |0_44 
